CGPA,Internship,Paid_Internship,Projects,Workshop_Certification,Aptitude_Score,Skills_Rating,Placement_Training,SSC_Marks,Gender,Placement_Status
8.53,2,0,1,2,56.01,2.9,Not Attended,64.18,Male,Not Placed
8.89,2,0,4,5,64.02,7.87,Attended,78.62,Male,Placed
7.28,0,0,4,8,58.66,6.72,Attended,72.55,Male,Placed
6.67,1,0,3,2,62.43,5.24,Attended,70.66,Male,Not Placed
9.23,1,0,5,6,64.27,6.45,Attended,60.97,Male,Placed
8.13,1,0,4,6,47.07,7.06,Attended,81.51,Male,Placed
8.7,0,0,1,7,60.76,7.32,Attended,71.01,Female,Placed
7.94,1,1,2,4,46.86,2.39,Attended,88.43,Male,Not Placed
6.0,1,0,2,2,54.66,4.71,Not Attended,63.6,Male,Not Placed
7.96,1,0,5,7,66.68,7.3,Attended,74.77,Male,Placed
6.56,0,0,3,4,55.01,6.65,Not Attended,72.54,Male,Not Placed
9.39,0,0,5,7,65.78,8.82,Attended,79.03,Male,Placed
6.47,0,0,1,6,75.77,6.16,Attended,79.28,Female,Placed
7.54,1,0,1,0,75.26,5.09,Not Attended,63.51,Male,Not Placed
8.47,1,0,3,6,100.0,8.57,Attended,82.73,Female,Placed
7.81,0,0,5,5,46.8,7.45,Attended,77.41,Male,Placed
8.7,0,0,2,2,49.52,6.61,Not Attended,89.28,Male,Not Placed
7.78,0,0,3,7,77.25,8.68,Not Attended,74.5,Male,Placed
7.34,1,0,4,7,48.5,6.46,Attended,85.45,Male,Placed
8.87,1,1,5,7,57.44,5.55,Not Attended,62.49,Male,Placed
8.2,0,0,4,5,47.83,7.18,Attended,73.59,Male,Placed
7.55,0,0,4,6,68.95,7.97,Not Attended,70.94,Male,Placed
8.62,1,0,3,3,78.7,5.47,Not Attended,63.15,Male,Not Placed
7.55,0,0,2,2,94.33,7.72,Not Attended,71.86,Male,Not Placed
9.02,0,0,4,8,50.2,5.92,Attended,75.23,Female,Placed
7.96,0,0,2,3,55.53,5.09,Not Attended,71.45,Male,Not Placed
7.96,0,0,4,5,59.92,3.82,Attended,81.63,Male,Placed
9.43,0,0,4,8,75.8,8.53,Attended,72.99,Male,Placed
8.44,0,0,4,1,34.64,4.84,Not Attended,60.0,Male,Not Placed
6.96,0,0,2,7,76.64,5.9,Attended,77.24,Female,Placed
8.4,0,0,3,2,44.62,3.24,Not Attended,71.72,Male,Not Placed
8.22,2,0,5,6,90.45,7.11,Attended,74.72,Male,Placed
7.38,0,0,1,0,70.48,4.87,Attended,72.28,Female,Not Placed
6.87,0,0,5,7,90.37,5.55,Attended,66.11,Male,Placed
9.25,0,0,4,7,64.12,7.18,Attended,70.5,Male,Placed
7.54,1,0,5,8,66.73,7.91,Attended,60.0,Male,Placed
6.77,1,0,3,4,77.16,6.54,Attended,72.38,Female,Placed
8.18,0,0,1,6,55.07,4.13,Attended,83.32,Male,Placed
6.0,0,0,3,3,61.65,6.19,Attended,83.85,Male,Not Placed
7.38,1,0,4,6,92.77,5.95,Attended,79.11,Male,Placed
8.33,0,0,3,6,65.95,6.65,Attended,68.48,Female,Placed
6.8,0,0,5,6,76.61,6.7,Not Attended,66.71,Male,Placed
8.32,0,0,2,6,74.6,6.13,Attended,72.16,Male,Placed
6.71,1,0,3,0,64.39,6.64,Not Attended,67.9,Female,Not Placed
8.44,0,0,3,6,88.35,8.27,Not Attended,72.06,Male,Placed
6.25,1,0,3,2,57.32,6.17,Not Attended,77.03,Male,Not Placed
7.72,0,0,4,8,65.91,10.0,Attended,83.42,Female,Placed
6.77,0,0,4,6,68.42,6.14,Not Attended,75.72,Female,Placed
7.52,0,0,2,3,37.64,6.74,Attended,68.1,Male,Not Placed
9.36,1,0,4,7,55.68,3.86,Not Attended,60.0,Male,Placed
7.18,0,0,3,8,46.9,7.66,Attended,88.34,Male,Placed
7.73,0,0,4,2,38.9,3.92,Not Attended,66.96,Female,Not Placed
7.14,0,0,3,2,65.33,6.82,Attended,69.88,Male,Not Placed
6.92,1,1,5,7,93.3,9.32,Attended,75.87,Male,Placed
7.72,0,0,4,8,62.14,5.4,Attended,78.94,Female,Placed
9.49,1,0,4,7,75.03,9.48,Attended,71.55,Female,Placed
10.0,1,1,4,8,66.46,6.67,Attended,75.15,Female,Placed
8.34,0,0,3,2,100.0,3.43,Not Attended,60.0,Male,Not Placed
7.98,0,0,2,1,58.51,5.16,Not Attended,70.31,Male,Not Placed
6.13,0,0,3,7,55.53,6.6,Attended,74.0,Male,Placed
6.73,1,1,4,6,78.98,6.94,Attended,76.74,Female,Placed
7.05,0,0,3,7,74.52,6.75,Attended,76.85,Male,Placed
7.58,0,0,3,4,88.99,7.03,Attended,82.15,Male,Placed
7.86,1,0,4,7,68.54,7.51,Attended,71.62,Female,Placed
8.89,2,1,4,8,74.47,6.88,Attended,60.0,Male,Placed
8.18,0,0,5,8,49.13,6.58,Attended,81.72,Male,Placed
8.36,0,0,3,7,79.22,7.26,Attended,84.16,Male,Placed
7.39,0,0,5,7,72.19,8.1,Attended,64.93,Male,Placed
8.16,0,0,1,7,67.08,7.39,Attended,64.05,Male,Placed
7.5,1,0,3,8,74.05,6.86,Attended,75.93,Female,Placed
6.55,1,0,5,8,63.91,6.4,Attended,88.26,Female,Placed
6.37,0,0,5,8,96.18,7.07,Attended,66.36,Male,Placed
7.2,1,1,4,7,65.24,7.59,Attended,76.55,Male,Placed
6.0,1,0,5,6,74.75,4.66,Attended,64.61,Male,Placed
6.54,1,0,1,0,55.71,3.96,Not Attended,77.81,Male,Not Placed
6.04,0,0,3,2,46.29,8.43,Attended,75.51,Male,Not Placed
8.24,1,1,3,8,92.58,6.99,Attended,78.66,Female,Placed
8.09,1,1,3,8,63.56,7.37,Attended,69.19,Male,Placed
6.53,0,0,1,2,77.17,5.31,Attended,86.84,Male,Not Placed
8.93,0,0,2,1,34.03,8.2,Not Attended,68.72,Male,Not Placed
8.75,1,0,1,8,78.59,8.49,Not Attended,90.14,Male,Placed
7.36,1,1,3,6,68.89,5.55,Not Attended,69.91,Male,Placed
6.27,0,0,1,1,42.29,6.76,Attended,65.56,Male,Not Placed
8.01,0,0,4,8,54.81,7.94,Attended,70.73,Female,Placed
8.24,0,0,4,8,81.24,7.17,Attended,76.13,Female,Placed
7.76,0,0,3,6,69.17,6.83,Attended,88.41,Female,Placed
9.41,0,0,1,2,68.38,5.77,Not Attended,60.0,Female,Not Placed
8.7,0,0,4,7,73.77,4.35,Attended,83.42,Male,Placed
6.68,1,0,4,6,52.61,5.33,Attended,68.39,Male,Placed
8.95,0,0,2,7,42.27,6.27,Attended,78.45,Female,Placed
6.63,0,0,5,5,64.5,7.3,Attended,77.32,Female,Placed
7.25,0,0,2,7,92.54,3.52,Attended,88.44,Male,Placed
7.96,1,1,1,8,80.2,7.25,Attended,60.0,Male,Placed
6.36,0,0,3,1,36.73,6.86,Attended,70.63,Male,Not Placed
8.28,2,0,3,7,68.56,7.92,Attended,88.36,Male,Placed
6.1,0,0,5,1,49.99,6.24,Not Attended,77.47,Male,Not Placed
6.82,0,0,4,6,93.45,8.61,Not Attended,87.08,Female,Placed
7.16,1,0,4,5,52.16,5.29,Attended,94.61,Male,Placed
6.21,0,0,5,6,78.77,5.8,Attended,78.49,Female,Placed
7.09,0,0,3,7,66.36,7.16,Attended,83.69,Male,Placed
6.71,1,0,5,5,66.74,8.9,Attended,62.0,Male,Placed
7.82,0,0,5,6,86.89,7.45,Attended,92.94,Male,Placed
6.74,1,0,1,4,63.03,4.84,Not Attended,72.64,Male,Not Placed
8.72,0,0,1,3,60.49,3.85,Attended,71.83,Male,Not Placed
7.77,2,0,1,4,54.9,6.47,Not Attended,74.06,Male,Not Placed
6.22,0,0,2,7,64.27,8.54,Not Attended,68.08,Female,Placed
6.56,0,0,5,7,100.0,8.61,Attended,66.44,Female,Placed
6.51,0,0,5,8,94.02,6.87,Attended,77.35,Male,Placed
6.84,0,0,1,0,56.31,5.65,Attended,73.44,Male,Not Placed
8.06,1,1,5,5,58.9,7.09,Attended,75.68,Male,Placed
6.47,1,1,2,0,71.17,4.11,Attended,65.26,Female,Not Placed
7.74,0,0,2,5,77.88,7.82,Attended,84.41,Male,Placed
8.14,0,0,5,1,76.75,8.49,Not Attended,77.68,Female,Not Placed
6.0,0,0,2,2,40.48,6.2,Not Attended,72.38,Male,Not Placed
8.02,0,0,2,1,49.22,6.85,Attended,74.71,Male,Not Placed
8.22,0,0,4,6,61.35,8.34,Attended,78.05,Female,Placed
8.02,0,0,5,5,76.37,8.0,Attended,66.42,Male,Placed
7.19,1,1,5,5,65.55,5.71,Attended,85.37,Male,Placed
7.18,0,0,4,7,82.11,8.3,Not Attended,71.83,Male,Placed
6.9,1,1,4,5,56.15,5.98,Attended,60.39,Male,Placed
9.12,0,0,5,4,78.82,5.29,Attended,76.45,Male,Placed
6.68,0,0,4,8,49.31,5.54,Not Attended,79.64,Male,Placed
7.17,0,0,5,3,87.09,9.57,Attended,71.53,Male,Not Placed
9.24,0,0,1,1,56.72,6.74,Not Attended,78.85,Male,Not Placed
8.49,1,0,5,6,76.82,8.59,Attended,73.47,Female,Placed
7.96,1,1,3,1,48.66,7.35,Attended,72.28,Male,Not Placed
9.25,0,0,4,7,56.4,8.2,Not Attended,67.4,Female,Placed
7.24,1,0,2,6,84.39,9.05,Attended,61.7,Male,Placed
8.29,0,0,3,7,70.74,5.28,Attended,60.58,Male,Placed
8.0,1,0,1,3,49.31,5.07,Attended,60.0,Male,Not Placed
7.2,0,0,4,7,58.2,8.24,Attended,75.61,Male,Placed
8.07,0,0,4,6,78.59,5.68,Attended,72.14,Male,Placed
6.0,1,0,2,3,59.22,6.19,Not Attended,82.26,Male,Not Placed
7.28,1,1,5,7,82.82,6.91,Attended,74.02,Female,Placed
6.45,0,0,2,0,45.94,4.27,Not Attended,60.0,Male,Not Placed
7.1,0,0,1,1,53.41,5.69,Not Attended,61.81,Male,Not Placed
8.26,0,0,1,3,28.6,6.07,Attended,78.79,Male,Not Placed
7.69,0,0,3,7,64.3,8.96,Attended,75.59,Female,Placed
8.19,0,0,4,8,89.95,5.61,Attended,74.41,Male,Placed
8.58,0,0,5,7,79.69,5.36,Attended,78.38,Male,Placed
7.16,0,0,4,6,61.28,5.29,Attended,66.01,Male,Placed
10.0,1,0,3,7,46.81,5.87,Attended,73.52,Male,Placed
6.5,0,0,4,7,36.94,5.93,Attended,73.44,Male,Placed
7.14,0,0,1,2,70.03,2.95,Attended,79.83,Female,Not Placed
8.29,0,0,2,0,70.54,4.06,Attended,64.51,Male,Not Placed
7.56,0,0,5,7,63.92,6.64,Attended,79.08,Male,Placed
7.9,0,0,1,7,84.82,5.75,Attended,68.38,Female,Placed
8.62,1,1,4,6,46.27,6.94,Attended,77.13,Male,Placed
8.48,0,0,4,7,100.0,8.18,Attended,70.12,Female,Placed
6.0,1,0,2,2,87.18,5.2,Not Attended,94.34,Male,Not Placed
7.64,0,0,2,4,99.87,5.79,Not Attended,65.39,Male,Not Placed
6.0,0,0,1,4,91.14,6.83,Attended,60.0,Male,Not Placed
8.69,0,0,2,4,69.64,4.71,Not Attended,72.63,Male,Not Placed
8.5,0,0,5,5,84.02,7.91,Attended,73.69,Male,Placed
6.37,0,0,1,0,67.83,5.43,Not Attended,67.31,Male,Not Placed
8.11,0,0,5,4,67.31,7.22,Not Attended,63.99,Male,Placed
7.87,1,0,4,6,82.08,7.88,Attended,74.49,Male,Placed
9.11,1,0,5,7,80.93,8.66,Attended,65.69,Male,Placed
7.98,0,0,4,8,97.15,6.34,Attended,82.82,Male,Placed
8.44,1,0,5,5,51.99,7.3,Attended,70.09,Male,Placed
7.91,0,0,4,4,64.39,7.03,Attended,73.23,Female,Placed
8.24,0,0,2,2,72.66,6.18,Not Attended,69.22,Male,Not Placed
8.32,1,0,4,5,58.38,6.91,Attended,69.43,Female,Placed
6.58,1,0,4,7,62.1,6.49,Attended,70.5,Male,Placed
8.09,0,0,3,7,76.54,7.17,Attended,64.83,Male,Placed
8.84,0,0,3,6,98.09,7.66,Not Attended,68.59,Female,Placed
9.46,1,0,4,7,82.64,7.42,Attended,60.0,Male,Placed
7.15,0,0,2,1,41.83,6.1,Not Attended,74.9,Female,Not Placed
7.39,0,0,5,2,76.36,7.54,Not Attended,79.72,Male,Not Placed
8.81,0,0,2,6,65.34,6.75,Attended,83.76,Female,Placed
7.83,1,1,4,4,57.88,6.69,Attended,60.0,Male,Not Placed
8.51,0,0,2,7,100.0,5.72,Attended,60.0,Male,Placed
6.31,1,0,5,5,61.76,7.31,Not Attended,92.63,Male,Placed
8.4,0,0,4,2,72.79,5.16,Not Attended,69.09,Male,Not Placed
7.71,0,0,5,7,80.26,5.79,Attended,77.04,Female,Placed
7.99,0,0,4,5,69.61,5.18,Attended,76.93,Male,Placed
7.37,1,1,5,5,66.76,5.1,Attended,68.05,Female,Placed
7.78,0,0,3,5,68.7,6.25,Attended,75.81,Male,Placed
6.7,1,0,2,1,27.69,4.67,Not Attended,78.43,Male,Not Placed
8.57,0,0,4,6,94.39,7.72,Attended,75.59,Male,Placed
6.04,0,0,2,3,78.14,5.21,Not Attended,95.0,Male,Not Placed
7.83,2,0,2,6,61.49,6.23,Attended,83.46,Male,Placed
6.21,0,0,4,6,96.91,4.52,Attended,68.91,Female,Placed
8.92,0,0,4,6,87.45,6.05,Attended,69.95,Male,Placed
6.66,0,0,2,7,66.05,8.7,Not Attended,82.16,Male,Placed
7.53,1,0,2,2,32.22,5.59,Not Attended,62.57,Male,Not Placed
7.95,0,0,4,7,66.37,7.22,Attended,86.72,Male,Placed
8.4,1,1,2,6,79.71,7.22,Attended,60.0,Male,Placed
7.04,1,0,5,4,34.34,7.44,Not Attended,72.5,Male,Placed
6.82,1,0,1,3,71.74,7.61,Not Attended,60.0,Male,Not Placed
7.88,0,0,3,6,64.12,4.76,Attended,64.7,Male,Placed
7.41,0,0,1,2,64.67,4.96,Not Attended,79.86,Female,Not Placed
9.33,1,0,4,7,23.03,8.03,Attended,69.2,Male,Placed
7.56,1,0,1,6,39.88,6.81,Not Attended,66.61,Female,Placed
7.01,0,0,1,3,80.53,5.32,Not Attended,60.0,Male,Not Placed
8.32,1,0,4,0,43.25,7.23,Not Attended,71.83,Male,Not Placed
8.68,1,0,4,4,44.46,6.64,Not Attended,69.07,Male,Not Placed
6.13,0,0,3,0,58.85,8.26,Attended,87.45,Male,Not Placed
6.05,0,0,4,4,100.0,5.66,Attended,77.11,Female,Placed
8.29,0,0,4,5,65.68,6.75,Attended,60.0,Male,Placed
8.37,0,0,5,6,61.98,6.49,Attended,60.0,Male,Placed
7.85,0,0,2,1,72.01,4.02,Attended,72.38,Male,Not Placed
8.32,0,0,3,1,73.96,8.49,Attended,68.12,Male,Not Placed
9.11,2,0,5,6,58.39,4.93,Attended,82.37,Male,Placed
8.33,0,0,5,7,75.03,9.48,Attended,80.04,Male,Placed
6.42,0,0,5,7,90.4,7.48,Not Attended,73.57,Male,Placed
6.98,0,0,3,3,42.52,5.95,Not Attended,71.97,Male,Not Placed
6.79,0,0,4,6,90.28,5.06,Attended,81.7,Female,Placed
7.85,1,1,4,6,96.58,6.65,Attended,69.48,Male,Placed
8.63,1,0,4,7,85.82,7.19,Not Attended,79.71,Male,Placed
8.69,0,0,1,1,50.33,6.91,Attended,75.83,Male,Not Placed
7.98,0,0,2,3,85.21,6.84,Not Attended,60.0,Male,Not Placed
7.17,0,0,5,8,87.23,4.26,Attended,71.6,Male,Placed
8.99,0,0,4,7,52.07,5.67,Attended,88.0,Male,Placed
9.16,0,0,2,5,76.38,7.75,Attended,93.7,Male,Placed
6.4,0,0,2,2,65.12,9.16,Not Attended,60.0,Male,Not Placed
8.11,0,0,2,1,67.61,8.9,Attended,63.88,Male,Not Placed
7.34,0,0,4,6,94.12,6.92,Attended,92.67,Male,Placed
6.88,1,0,3,5,94.2,6.05,Attended,83.43,Female,Placed
8.81,0,0,5,7,63.32,8.86,Attended,67.13,Male,Placed
7.9,0,0,5,8,73.19,5.16,Attended,62.45,Male,Placed
7.17,0,0,2,4,59.2,6.44,Not Attended,78.96,Male,Not Placed
8.13,1,1,5,7,47.17,5.6,Not Attended,80.46,Male,Placed
6.64,1,1,4,8,85.38,6.11,Attended,86.89,Male,Placed
6.63,0,0,5,6,39.3,7.28,Not Attended,84.15,Female,Placed
7.93,0,0,3,7,63.61,7.0,Attended,61.11,Male,Placed
8.65,1,0,5,8,75.27,7.71,Attended,85.76,Male,Placed
8.93,0,0,3,5,78.38,9.43,Attended,71.26,Male,Placed
8.93,0,0,3,6,30.58,7.09,Attended,76.58,Male,Placed
7.61,1,0,2,0,62.62,4.94,Attended,60.37,Male,Not Placed
8.95,0,0,3,5,62.45,6.43,Attended,74.08,Female,Placed
8.65,0,0,4,6,79.07,7.9,Attended,72.89,Female,Placed
6.66,1,0,3,4,84.37,6.8,Not Attended,77.28,Male,Not Placed
9.15,1,0,4,7,55.42,7.1,Attended,60.0,Female,Placed
8.27,0,0,1,3,77.63,7.77,Not Attended,86.78,Male,Not Placed
7.96,0,0,3,7,60.19,8.3,Attended,80.42,Male,Placed
6.71,1,1,4,6,88.44,7.15,Not Attended,68.25,Male,Placed
6.28,0,0,1,5,67.86,7.3,Attended,75.31,Male,Placed
8.95,0,0,3,5,54.84,7.45,Attended,72.33,Male,Placed
8.37,1,0,4,5,63.71,8.46,Not Attended,62.03,Female,Placed
6.0,0,0,2,1,70.1,8.93,Attended,85.69,Female,Not Placed
8.87,1,0,3,6,53.22,7.65,Not Attended,78.34,Male,Placed
7.37,0,0,4,7,66.47,5.04,Attended,60.0,Female,Placed
6.41,0,0,4,5,99.06,8.31,Not Attended,81.85,Male,Placed
8.6,1,1,5,6,92.48,7.36,Attended,75.48,Female,Placed
9.4,0,0,3,5,82.93,8.66,Attended,86.83,Female,Placed
8.27,1,0,4,8,100.0,4.94,Not Attended,84.81,Male,Placed
7.41,1,0,1,3,38.47,5.72,Not Attended,72.49,Male,Not Placed
7.26,0,0,3,0,69.36,8.73,Not Attended,69.64,Male,Not Placed
7.21,0,0,4,6,72.66,9.32,Attended,81.79,Male,Placed
6.58,1,0,3,7,72.38,7.95,Attended,80.14,Male,Placed
6.7,0,0,3,2,71.73,7.62,Attended,62.82,Male,Not Placed
7.37,0,0,3,0,73.33,6.52,Attended,75.67,Male,Not Placed
7.89,1,1,4,7,58.4,6.39,Attended,93.15,Male,Placed
6.02,0,0,2,2,54.34,8.72,Not Attended,64.98,Male,Not Placed
7.33,0,0,3,6,65.09,7.9,Attended,61.19,Male,Placed
7.58,1,0,4,3,66.39,5.75,Attended,70.98,Female,Not Placed
7.65,0,0,4,8,63.61,7.89,Attended,75.98,Female,Placed
7.91,1,0,2,6,66.84,6.68,Attended,67.85,Male,Placed
10.0,1,0,1,2,42.61,8.32,Attended,70.78,Female,Not Placed
9.06,0,0,2,5,76.23,6.09,Attended,74.12,Female,Placed
8.28,1,0,4,8,62.01,5.56,Attended,60.0,Male,Placed
8.83,0,0,4,5,88.88,7.14,Attended,75.23,Male,Placed
6.93,0,0,2,2,69.66,3.82,Attended,65.93,Male,Not Placed
7.65,0,0,1,2,43.45,4.7,Not Attended,60.0,Female,Not Placed
7.63,0,0,3,2,56.75,5.63,Not Attended,76.47,Male,Not Placed
9.94,1,0,3,7,72.25,7.56,Attended,67.81,Female,Placed
6.99,0,0,2,1,86.05,4.43,Attended,81.73,Male,Not Placed
7.57,0,0,5,6,57.24,4.02,Attended,64.93,Male,Placed
9.27,0,0,2,5,86.27,6.56,Attended,82.04,Male,Placed
6.76,1,1,1,4,52.58,4.52,Attended,68.61,Male,Not Placed
7.36,1,1,3,6,67.95,5.58,Attended,60.0,Male,Placed
8.57,0,0,4,7,64.71,7.18,Attended,74.41,Female,Placed
7.22,0,0,4,5,46.07,5.62,Attended,89.92,Female,Placed
8.1,0,0,1,7,56.01,6.43,Attended,74.45,Female,Placed
8.22,0,0,2,2,82.24,8.04,Not Attended,63.99,Female,Not Placed
8.75,1,0,5,6,82.14,5.73,Attended,75.68,Male,Placed
9.38,0,0,5,7,74.17,6.1,Attended,74.04,Female,Placed
7.83,0,0,2,6,91.29,8.34,Not Attended,95.0,Female,Placed
8.6,2,1,4,8,73.34,7.96,Attended,65.62,Female,Placed
8.54,1,0,5,6,60.09,9.53,Attended,81.83,Male,Placed
7.94,0,0,2,2,73.52,6.45,Attended,60.0,Male,Not Placed
8.52,0,0,5,6,52.97,8.19,Attended,86.37,Female,Placed
9.5,0,0,3,0,61.82,5.19,Attended,79.58,Male,Not Placed
8.13,0,0,1,1,36.47,5.55,Not Attended,72.15,Male,Not Placed
7.09,0,0,2,5,49.55,8.61,Attended,83.28,Male,Placed
9.21,1,0,3,6,74.91,7.09,Attended,92.36,Male,Placed
6.26,1,0,1,4,43.28,7.63,Not Attended,74.27,Male,Not Placed
7.83,1,0,2,0,54.65,5.38,Not Attended,81.46,Female,Not Placed
7.71,0,0,5,8,90.28,3.44,Attended,75.36,Male,Placed
7.78,0,0,4,6,64.0,7.25,Not Attended,65.37,Male,Placed
6.71,1,0,2,0,45.13,6.72,Not Attended,83.49,Male,Not Placed
6.41,1,0,2,4,51.63,5.88,Not Attended,92.12,Male,Not Placed
9.0,0,0,3,8,86.59,5.43,Attended,79.61,Male,Placed
6.21,0,0,5,2,79.36,5.2,Not Attended,69.64,Male,Not Placed
6.98,0,0,3,3,100.0,8.78,Attended,62.35,Male,Not Placed
8.13,1,0,4,8,90.26,8.22,Attended,60.12,Male,Placed
7.37,1,1,1,0,43.33,4.03,Not Attended,95.0,Female,Not Placed
8.43,1,0,2,8,84.15,6.95,Attended,75.95,Male,Placed
8.93,0,0,5,8,42.26,6.37,Attended,73.16,Male,Placed
9.42,0,0,3,8,92.86,6.74,Attended,81.75,Male,Placed
9.33,1,0,3,8,75.11,6.69,Attended,83.9,Male,Placed
6.38,0,0,5,4,43.3,6.26,Not Attended,72.29,Female,Not Placed
7.78,1,0,4,6,48.13,7.87,Attended,81.64,Male,Placed
8.58,0,0,3,6,71.01,6.3,Attended,74.77,Male,Placed
6.21,1,1,3,8,87.18,6.52,Attended,86.96,Male,Placed
8.27,1,0,2,6,46.92,5.64,Attended,67.46,Female,Placed
9.25,0,0,4,6,64.58,6.98,Not Attended,80.01,Female,Placed
7.79,1,1,3,8,73.72,5.15,Attended,80.6,Female,Placed
7.92,0,0,3,8,64.36,6.62,Attended,72.9,Female,Placed
8.35,1,0,2,2,36.75,5.87,Not Attended,72.76,Male,Not Placed
6.0,0,0,2,0,44.08,6.1,Not Attended,71.52,Female,Not Placed
8.35,0,0,4,5,72.06,6.6,Attended,86.88,Male,Placed
8.08,2,1,2,0,34.98,8.22,Not Attended,62.98,Male,Not Placed
9.17,0,0,3,6,66.48,4.68,Attended,73.14,Male,Placed
9.31,1,0,4,8,75.66,7.75,Attended,81.1,Male,Placed
6.96,1,0,5,7,61.0,6.5,Attended,82.73,Male,Placed
9.5,0,0,1,8,73.93,9.8,Attended,76.26,Male,Placed
7.94,1,0,5,7,68.46,7.56,Attended,73.32,Male,Placed
6.54,1,0,3,1,35.17,4.34,Not Attended,68.39,Female,Not Placed
8.7,0,0,4,5,92.8,4.57,Attended,82.41,Male,Placed
7.65,0,0,1,2,40.76,8.13,Attended,60.0,Male,Not Placed
7.24,1,0,4,5,81.22,8.56,Not Attended,89.56,Male,Placed
8.29,1,0,4,5,57.19,6.32,Attended,81.0,Female,Placed
6.0,1,0,5,8,97.4,7.67,Not Attended,77.77,Female,Placed
8.89,0,0,4,7,90.87,8.91,Attended,78.38,Male,Placed
6.41,2,0,1,7,100.0,8.22,Not Attended,78.98,Male,Placed
8.34,0,0,5,6,72.22,6.84,Attended,73.05,Male,Placed
7.27,0,0,3,7,55.78,6.23,Attended,79.7,Male,Placed
6.19,0,0,5,1,46.23,3.71,Not Attended,73.51,Male,Not Placed
6.3,1,1,2,7,67.65,6.05,Attended,77.45,Male,Placed
6.24,1,0,4,6,55.82,4.84,Attended,64.71,Female,Placed
7.01,0,0,2,1,30.33,6.16,Attended,82.72,Male,Not Placed
6.53,0,0,4,1,88.0,6.53,Not Attended,60.0,Male,Not Placed
7.99,0,0,5,8,77.35,7.6,Attended,72.72,Male,Placed
9.0,0,0,1,5,69.13,6.21,Attended,87.69,Male,Placed
7.74,1,0,3,0,15.71,4.56,Attended,81.11,Female,Not Placed
6.14,0,0,2,5,88.58,5.75,Not Attended,85.97,Male,Not Placed
7.47,0,0,5,6,92.02,6.9,Attended,62.84,Male,Placed
7.76,1,0,5,6,58.56,8.24,Not Attended,63.99,Female,Placed
7.96,0,0,2,7,58.46,6.46,Attended,75.26,Male,Placed
6.43,2,0,5,7,94.15,5.89,Not Attended,74.35,Male,Placed
7.76,0,0,1,2,57.5,4.47,Attended,60.0,Male,Not Placed
8.29,1,1,1,6,93.35,7.77,Attended,86.47,Male,Placed
8.3,1,0,5,7,68.54,7.5,Attended,75.19,Male,Placed
7.18,0,0,4,5,71.45,4.02,Attended,73.15,Male,Placed
7.25,0,0,4,7,95.27,9.21,Attended,62.57,Male,Placed
6.65,1,0,4,6,77.03,6.22,Attended,61.85,Female,Placed
7.49,0,0,2,3,75.98,6.44,Not Attended,60.0,Male,Not Placed
7.68,1,1,2,7,56.19,6.18,Attended,68.95,Male,Placed
6.62,1,0,2,2,46.4,7.74,Not Attended,95.0,Male,Not Placed
7.82,0,0,4,7,45.79,8.67,Attended,84.67,Male,Placed
8.42,2,0,2,5,78.89,7.41,Attended,95.0,Male,Placed
6.87,0,0,3,7,70.4,7.78,Attended,77.3,Female,Placed
8.35,1,1,4,5,81.65,6.04,Attended,64.72,Male,Placed
7.42,1,0,1,6,77.32,8.64,Not Attended,79.5,Male,Placed
7.17,0,0,1,7,62.51,8.85,Attended,60.0,Male,Placed
8.19,0,0,3,0,58.17,6.06,Attended,63.09,Male,Not Placed
7.82,2,0,4,7,72.38,5.75,Not Attended,75.91,Male,Placed
6.0,0,0,2,2,62.49,7.39,Not Attended,66.86,Male,Not Placed
7.93,0,0,3,6,71.77,8.49,Attended,85.95,Male,Placed
7.76,0,0,1,2,51.57,8.07,Not Attended,90.32,Female,Not Placed
7.56,1,0,3,4,59.23,6.21,Attended,62.99,Male,Not Placed
7.36,0,0,3,6,87.59,7.63,Not Attended,87.92,Male,Placed
6.68,0,0,3,0,57.09,4.56,Attended,87.6,Male,Not Placed
8.97,1,1,4,7,63.97,5.02,Attended,65.98,Male,Placed
6.36,0,0,3,8,66.82,6.21,Attended,61.79,Female,Placed
7.97,1,0,3,7,70.85,2.44,Attended,60.0,Male,Placed
6.22,0,0,1,3,52.85,7.17,Not Attended,86.06,Male,Not Placed
7.41,0,0,3,1,87.86,6.56,Not Attended,89.28,Male,Not Placed
7.52,1,1,4,6,92.62,6.38,Attended,69.65,Female,Placed
8.83,0,0,3,6,75.8,7.98,Attended,73.15,Male,Placed
8.08,1,0,4,2,92.9,4.33,Not Attended,60.0,Male,Not Placed
8.94,1,1,5,8,73.97,7.6,Attended,78.68,Female,Placed
8.41,1,1,4,7,57.82,10.0,Not Attended,73.96,Male,Placed
8.53,0,0,4,5,66.64,6.2,Attended,91.54,Female,Placed
7.77,0,0,4,8,85.39,8.29,Attended,74.03,Female,Placed
7.65,0,0,1,2,50.03,4.81,Attended,88.24,Male,Not Placed
6.26,1,0,4,8,54.22,6.86,Attended,72.81,Female,Placed
7.12,2,0,5,8,59.86,9.22,Attended,92.46,Male,Placed
8.24,1,0,3,6,80.05,7.47,Attended,88.83,Female,Placed
8.74,1,0,1,3,52.81,5.01,Attended,74.17,Male,Not Placed
7.29,0,0,5,8,88.09,7.05,Attended,85.98,Male,Placed
7.78,0,0,5,7,65.26,5.58,Attended,84.59,Male,Placed
