C_Cpp,Java,Python,HTML_CSS,UI_UX,Javascript,Numpy_Pandas,Scikit_learn,MERN,Linux,Cloud_Platforms,App_development,Number_of_Contest_attempted,LC_Contest_rating,Leetcode_Medium_problems,Skills_rating
1,0,1,1,0,1,0,0,0,0,0,1,0,1500.0,170,5.68
0,0,1,0,0,1,0,0,0,1,1,0,10,1711.0,187,5.81
1,0,1,0,0,1,1,0,1,0,0,0,9,1650.0,224,7.12
0,0,1,0,1,0,0,1,0,0,0,0,0,1500.0,119,3.6
1,1,1,1,0,1,1,0,0,1,0,0,14,1709.0,227,8.28
1,1,0,0,1,1,1,0,0,1,0,0,2,1091.0,146,4.34
1,0,1,1,1,1,1,1,0,1,0,1,4,1422.0,184,8.88
1,1,1,0,0,1,0,0,1,1,0,0,0,1500.0,215,7.22
0,1,0,0,0,0,1,0,0,1,0,1,12,1484.0,161,5.32
1,0,1,0,0,0,1,0,1,0,0,1,2,1346.0,203,5.57
0,1,1,0,0,1,0,0,0,0,0,1,9,1698.0,191,6.27
0,0,1,1,1,1,1,0,0,1,0,0,4,1408.0,178,6.13
0,0,0,0,0,0,1,1,0,1,0,1,0,1500.0,233,5.66
0,1,0,0,0,1,0,0,1,0,0,1,11,1351.0,112,4.15
1,0,0,1,0,0,1,1,0,0,0,0,7,1556.0,189,5.04
1,1,0,0,0,1,0,0,0,1,0,1,4,1488.0,223,5.55
0,1,1,1,0,1,0,0,1,1,0,0,0,1500.0,234,7.2
0,1,1,0,0,0,0,0,0,0,0,0,9,1401.0,152,3.3
1,1,1,1,0,1,0,0,0,0,0,0,0,1500.0,179,5.71
0,1,1,0,0,1,0,0,1,1,0,0,4,1642.0,170,6.85
0,1,0,1,0,0,0,0,0,0,1,1,0,1500.0,187,5.39
0,1,1,1,0,0,1,0,1,0,1,0,21,1739.0,322,9.99
1,1,1,1,1,0,0,1,0,0,0,0,0,1500.0,240,7.14
1,0,0,1,0,1,0,0,0,0,0,0,36,1889.0,188,5.33
0,0,1,0,0,0,0,1,0,0,0,1,33,1852.0,152,5.9
0,1,1,1,0,0,0,1,0,0,0,0,47,2000.0,189,7.77
1,1,1,0,1,0,0,0,0,0,0,1,38,1806.0,255,8.23
1,1,1,0,1,0,0,0,0,1,0,0,47,1733.0,163,7.17
0,1,1,0,1,1,0,0,1,0,0,1,35,1768.0,130,8.98
1,0,1,0,0,1,0,1,1,0,0,1,0,1500.0,221,7.97
0,0,1,1,1,0,0,1,0,0,0,0,4,1241.0,246,2.88
0,1,0,1,1,1,1,0,0,0,1,0,0,1500.0,178,6.25
1,1,0,1,0,1,0,0,0,0,0,0,7,1360.0,204,3.48
0,1,1,1,0,0,1,0,0,1,0,0,6,1752.0,263,7.54
1,0,1,0,1,0,0,1,1,0,0,0,40,1684.0,179,7.46
0,1,0,1,0,1,0,0,0,0,0,0,46,1733.0,166,4.86
0,0,0,0,0,1,0,1,0,1,0,0,0,1500.0,185,4.27
1,0,1,1,0,1,1,0,0,0,0,0,8,1630.0,195,5.84
0,1,1,0,0,0,0,0,0,0,0,0,5,1629.0,250,4.42
1,0,0,1,0,1,1,1,0,1,0,0,7,1270.0,133,4.64
0,0,1,1,0,1,0,1,0,1,0,1,6,1547.0,236,7.43
0,0,1,0,0,1,0,0,0,1,1,1,39,1757.0,236,8.29
0,1,1,1,1,1,1,0,0,0,0,0,37,1869.0,197,8.53
1,1,1,0,0,1,0,0,0,1,0,0,0,1500.0,218,6.23
0,0,1,1,0,1,0,0,1,1,1,0,2,1424.0,214,6.99
1,0,1,1,0,0,0,0,0,0,0,0,18,1425.0,127,2.57
0,0,0,0,0,1,0,0,0,1,0,1,10,1477.0,264,5.84
1,0,1,1,0,0,0,0,0,0,0,1,9,1633.0,126,4.9
0,0,1,0,0,1,0,0,0,0,0,0,50,2000.0,287,7.24
1,0,1,1,1,0,0,0,1,0,0,1,1,1518.0,177,6.65
1,1,0,0,0,1,0,0,1,0,0,1,6,1451.0,211,7.06
1,1,1,1,0,0,0,1,1,0,0,0,48,1753.0,173,9.6
1,0,1,1,0,1,1,0,1,0,0,1,10,1526.0,161,7.91
1,0,1,1,0,0,0,0,1,0,1,0,9,1483.0,212,7.37
1,0,0,1,1,0,1,0,0,1,0,0,0,1500.0,229,5.96
0,1,1,1,1,1,1,0,0,0,0,0,0,1500.0,163,5.2
0,0,1,0,0,1,0,0,0,1,1,0,2,1515.0,134,5.37
1,0,1,0,0,0,0,0,1,0,0,1,5,1491.0,196,5.34
1,1,0,1,0,0,0,0,0,1,1,1,5,1571.0,125,7.2
1,1,1,1,1,0,0,1,0,0,1,0,37,1766.0,197,9.47
0,1,0,1,0,1,0,1,1,1,1,0,0,1500.0,223,9.13
0,1,0,1,0,1,1,0,0,1,0,0,0,1500.0,225,4.77
0,1,0,1,0,1,0,1,0,1,0,1,0,1500.0,156,6.92
1,1,1,1,0,0,0,1,1,0,0,0,15,1856.0,146,8.52
0,1,0,0,0,0,0,1,1,0,0,1,47,2000.0,120,8.69
0,0,1,0,0,1,1,0,1,0,0,1,36,1703.0,149,7.56
0,0,1,1,0,0,0,0,1,0,0,0,14,1740.0,269,6.34
0,0,0,1,0,1,0,0,0,0,0,0,0,1500.0,159,2.95
1,1,1,0,1,0,0,0,0,1,0,0,2,1296.0,151,4.32
0,1,1,1,0,1,0,0,0,0,0,0,32,1641.0,147,5.69
1,0,1,0,0,1,1,0,1,0,0,0,9,1419.0,209,6.8
0,1,1,0,1,0,1,0,0,1,0,1,0,1500.0,278,7.0
0,0,1,1,1,1,1,1,0,0,0,0,5,1699.0,249,7.93
0,0,0,1,0,1,0,0,0,0,0,0,0,1500.0,137,2.54
0,1,0,0,0,0,1,0,0,1,0,0,6,1483.0,298,3.81
0,0,1,0,0,0,0,0,0,0,0,1,37,1725.0,148,5.08
0,1,1,1,0,1,0,0,1,1,0,0,0,1500.0,180,6.61
1,1,0,0,1,0,0,0,0,0,0,1,8,1554.0,228,6.48
0,0,1,1,0,1,0,0,0,0,1,0,0,1500.0,273,6.25
1,1,1,1,0,0,0,0,0,1,0,1,49,2000.0,220,9.38
1,0,1,0,0,0,0,1,0,1,1,1,0,1500.0,227,8.46
1,1,1,0,0,0,0,0,0,0,1,0,8,1768.0,199,7.44
0,1,1,0,0,0,0,0,0,1,0,0,0,1500.0,233,4.63
0,0,1,0,0,0,1,1,1,0,0,1,35,1575.0,214,8.02
0,0,1,1,0,0,1,1,1,0,1,1,0,1500.0,187,9.79
0,1,1,1,0,1,0,0,1,1,0,0,4,1679.0,122,6.65
1,1,1,1,0,1,1,0,0,0,1,0,0,1500.0,150,8.14
0,0,0,1,0,1,1,0,1,1,0,0,24,1379.0,135,4.04
0,1,0,0,0,0,1,1,1,1,1,1,2,1605.0,221,9.93
1,0,1,1,0,1,0,0,1,1,1,1,0,1500.0,157,8.89
1,0,1,0,0,0,1,0,0,0,1,0,14,1764.0,150,5.65
1,0,0,0,0,0,0,0,0,1,0,0,26,1892.0,240,5.74
0,0,1,1,1,0,0,0,0,1,0,0,5,1585.0,194,3.71
0,1,0,1,0,0,1,0,1,0,1,0,2,1310.0,123,5.8
0,0,1,0,1,1,1,0,0,0,1,1,9,1652.0,153,7.25
0,0,0,0,0,0,0,0,0,1,0,1,9,1379.0,132,2.54
0,1,1,0,0,1,1,0,0,0,0,1,10,1409.0,157,5.42
0,0,1,1,0,0,0,0,1,0,0,0,0,1500.0,246,3.78
0,1,0,1,0,1,0,1,1,0,0,1,43,1811.0,140,8.78
0,1,1,1,1,1,0,0,1,0,0,1,0,1500.0,171,8.29
0,1,1,1,0,0,1,1,1,0,0,0,2,1415.0,260,7.35
1,0,1,0,0,1,1,0,0,0,1,1,0,1500.0,251,8.34
1,1,0,0,0,1,1,0,0,0,0,0,41,1896.0,157,7.12
1,0,1,1,1,1,0,0,1,1,0,1,28,1625.0,153,10.0
0,0,1,1,0,1,0,1,1,0,1,1,25,1749.0,136,10.0
0,1,1,1,0,1,0,0,0,0,0,0,0,1500.0,180,5.18
0,1,1,0,0,0,0,0,0,1,0,1,10,1344.0,194,5.14
1,0,1,1,0,1,0,0,0,1,1,0,0,1500.0,234,7.19
1,1,1,0,0,0,0,0,0,0,0,1,46,1915.0,215,8.5
0,0,1,1,0,0,0,0,0,0,0,0,6,1469.0,224,3.48
1,1,1,0,1,1,1,1,0,0,1,1,7,1672.0,166,10.0
0,1,1,1,1,0,0,0,1,0,1,0,2,1637.0,125,7.79
0,0,1,1,1,0,1,0,0,1,1,0,6,1484.0,231,7.4
1,1,1,0,0,0,0,1,0,0,0,0,17,1326.0,124,4.36
1,1,1,1,1,0,0,0,0,0,0,0,7,1298.0,197,5.64
1,1,0,1,0,0,0,0,1,0,0,1,9,1708.0,130,6.01
1,1,1,1,0,1,0,0,0,0,0,0,5,1478.0,164,5.38
0,1,0,1,1,0,0,0,0,0,0,0,13,1842.0,230,5.34
1,0,1,1,1,1,0,0,0,1,0,0,37,1954.0,197,9.12
0,1,1,0,0,0,1,0,0,1,0,0,0,1500.0,156,4.33
1,1,1,0,1,1,1,0,0,0,0,0,0,1500.0,177,6.29
0,0,1,1,1,1,0,0,0,0,0,1,10,1588.0,147,5.79
1,1,0,1,0,0,0,1,0,0,1,0,2,1489.0,118,5.51
0,1,0,1,0,1,1,0,0,1,0,1,0,1500.0,133,5.7
1,0,0,1,1,1,1,0,0,0,0,1,0,1500.0,124,4.31
0,0,1,1,0,1,0,0,1,1,0,1,7,1347.0,160,5.95
1,0,1,0,0,0,1,0,1,0,0,1,2,1375.0,229,7.24
0,0,1,1,1,1,0,0,0,0,0,1,6,1572.0,138,6.36
0,1,0,1,0,1,0,0,0,0,0,0,45,1848.0,198,5.62
0,0,1,0,0,0,0,1,0,0,0,1,18,1700.0,246,7.12
0,1,1,0,0,0,0,1,0,1,0,0,23,1834.0,180,6.63
1,1,1,0,0,0,0,0,1,0,1,0,0,1500.0,126,5.49
0,1,1,0,1,0,0,1,0,1,0,0,1,1433.0,113,4.73
1,1,0,0,0,1,1,1,1,0,0,0,0,1500.0,141,7.27
0,1,1,1,0,0,0,0,1,0,0,0,46,1845.0,246,7.78
0,0,1,1,1,0,0,0,0,0,0,1,10,1415.0,175,4.71
1,1,1,1,1,1,0,1,0,0,0,0,0,1500.0,221,7.94
1,1,0,0,0,0,0,0,0,1,1,0,5,1625.0,240,5.96
0,1,1,0,1,0,0,1,0,0,0,1,0,1500.0,167,6.46
1,1,0,1,0,1,1,0,1,0,0,0,6,1623.0,153,7.66
1,0,1,0,0,0,1,0,0,0,0,0,0,1500.0,218,4.27
0,1,0,0,0,0,0,0,0,0,0,1,0,1500.0,237,3.86
1,1,0,0,0,0,0,1,1,1,0,1,1,1788.0,111,7.05
1,1,1,0,0,1,1,0,1,1,0,0,0,1500.0,156,8.56
1,0,1,0,0,1,0,0,0,0,1,0,13,1606.0,137,5.29
0,1,1,1,0,1,0,0,1,1,0,1,5,1485.0,176,7.67
1,1,1,1,0,0,0,0,0,1,1,0,0,1500.0,120,6.54
0,1,0,1,0,1,1,0,1,0,0,0,7,1590.0,161,6.02
0,1,1,1,0,1,0,0,0,0,0,0,0,1500.0,168,4.13
0,1,1,1,0,0,1,0,1,0,1,1,10,1506.0,149,8.57
0,0,1,0,0,1,0,0,0,0,0,0,0,1500.0,153,2.12
1,0,1,0,0,1,0,0,0,0,0,0,0,1500.0,132,2.97
1,0,0,0,0,0,1,0,0,0,0,0,0,1500.0,123,2.54
1,1,1,1,0,0,0,0,0,0,0,0,5,1367.0,318,5.93
0,1,0,1,0,0,0,0,0,1,0,0,44,1903.0,230,6.22
0,1,0,1,1,0,0,0,1,0,0,0,1,1528.0,113,3.82
0,0,1,1,1,1,0,0,1,1,0,1,0,1500.0,154,7.85
1,0,1,1,1,1,0,0,1,1,1,1,0,1500.0,117,8.62
0,0,0,1,0,0,1,0,1,1,0,1,3,1558.0,173,6.71
1,1,1,1,0,1,1,0,1,0,0,0,0,1500.0,209,8.16
1,1,1,0,0,1,1,0,1,0,0,0,0,1500.0,125,6.23
0,1,1,1,1,0,1,0,0,0,1,0,31,1826.0,266,10.0
1,0,1,0,0,1,1,0,1,1,0,0,0,1500.0,241,7.73
0,0,0,1,0,1,1,0,0,1,0,1,12,1729.0,182,6.36
1,0,1,0,0,0,1,0,1,0,1,0,0,1500.0,229,8.31
1,1,1,1,0,0,0,0,0,0,0,1,0,1500.0,205,5.59
0,1,0,1,0,0,0,0,0,1,0,1,23,1758.0,293,7.4
0,0,0,1,0,0,1,0,0,1,0,1,11,1600.0,136,4.93
1,0,1,0,1,0,0,0,0,1,0,0,1,1270.0,240,3.68
1,1,0,1,0,0,1,0,0,1,0,0,0,1500.0,190,5.03
0,1,1,1,0,1,0,0,1,0,1,0,2,1506.0,159,7.33
1,1,0,0,0,1,0,0,0,1,0,0,0,1500.0,164,3.36
1,1,1,1,0,0,1,0,0,1,0,1,42,1844.0,186,8.69
1,1,1,1,0,0,0,0,0,1,0,0,6,1341.0,105,2.85
0,0,0,1,0,1,1,1,0,0,0,0,46,1985.0,123,6.67
1,1,1,0,0,1,1,0,0,1,0,0,2,1547.0,193,6.46
1,1,0,1,1,0,1,0,0,1,1,1,7,1583.0,168,8.39
0,1,1,1,0,0,0,0,0,0,1,0,0,1500.0,176,4.85
0,0,0,1,0,1,0,0,0,0,0,1,25,1783.0,184,5.27
1,0,0,1,0,0,0,0,0,1,0,0,0,1500.0,184,2.88
0,1,1,0,1,0,1,0,1,1,0,1,10,1568.0,260,9.22
1,0,0,1,0,0,0,1,0,0,1,0,3,1442.0,213,6.02
0,0,1,1,0,0,0,1,0,1,0,0,7,1785.0,198,5.96
0,1,0,1,0,0,0,0,0,0,0,1,8,1552.0,129,3.96
1,1,1,1,0,0,0,1,0,1,0,1,12,1188.0,120,5.37
0,0,0,1,0,1,1,0,0,1,1,0,0,1500.0,145,6.02
0,0,1,1,0,1,0,0,0,0,0,1,6,1145.0,252,3.95
0,0,1,1,0,1,0,0,1,1,0,0,4,1670.0,253,8.79
1,0,1,0,1,0,1,0,0,0,0,1,0,1500.0,229,5.63
0,0,1,1,0,0,1,0,0,1,0,0,5,1224.0,152,2.58
0,1,0,1,1,1,1,0,0,0,0,0,44,1808.0,160,7.02
1,1,1,1,0,1,1,1,0,0,0,0,44,1707.0,148,8.81
0,1,1,1,0,0,0,0,0,1,0,0,0,1500.0,214,4.15
1,1,1,0,0,0,0,0,0,1,0,0,35,1754.0,115,6.4
0,0,1,1,0,0,1,0,1,0,0,0,34,1847.0,124,7.29
1,0,1,1,1,0,1,0,0,0,1,0,0,1500.0,278,7.51
0,0,0,0,0,0,0,0,0,0,1,0,8,1430.0,144,2.32
1,1,0,1,0,1,1,0,1,1,1,0,33,1657.0,256,10.0
0,0,1,1,0,0,1,0,0,0,1,1,6,1619.0,227,7.36
0,1,1,1,0,1,0,0,0,0,0,1,2,1864.0,164,6.8
0,1,1,1,0,1,0,0,0,1,0,0,9,1621.0,234,7.24
0,0,1,0,1,0,1,1,0,1,0,0,0,1500.0,122,5.78
0,0,1,1,1,1,1,0,1,0,0,0,0,1500.0,193,6.4
0,0,0,1,1,1,1,0,0,1,0,1,28,1592.0,214,8.18
1,1,1,1,0,0,1,0,0,1,0,1,0,1500.0,195,7.04
0,1,0,1,0,0,0,0,1,0,0,0,24,1820.0,214,6.19
0,1,1,0,0,1,0,0,0,1,0,1,0,1500.0,223,6.02
1,1,1,1,1,1,0,0,0,1,1,0,5,1761.0,166,9.59
1,0,1,0,0,1,1,0,0,0,1,0,7,1679.0,194,7.35
0,0,1,1,0,0,0,0,1,0,0,0,19,1408.0,107,4.5
0,0,1,0,0,0,0,0,1,1,0,0,35,1879.0,216,6.07
0,1,0,1,0,0,1,0,0,0,0,1,24,1621.0,217,5.55
1,0,1,1,0,0,0,0,1,0,1,1,7,1527.0,194,7.76
1,1,0,0,0,1,1,0,1,0,0,1,2,1413.0,227,7.63
0,0,1,0,1,1,0,1,1,0,1,0,6,1621.0,148,8.13
1,1,1,1,1,1,0,0,0,0,1,0,0,1500.0,220,7.0
1,1,1,1,0,1,0,0,1,0,0,0,0,1500.0,208,7.55
1,1,1,1,1,1,1,0,0,0,1,0,2,1417.0,211,9.39
1,0,1,0,0,1,0,1,1,0,0,0,1,1672.0,261,8.23
0,1,1,1,1,1,1,0,0,0,1,1,0,1500.0,274,9.81
0,1,1,0,0,0,0,0,0,1,0,0,0,1500.0,185,3.95
0,0,1,0,0,1,0,0,1,1,0,1,4,1489.0,206,6.19
0,1,1,0,0,0,0,0,1,0,0,1,0,1500.0,165,6.08
0,1,1,1,0,0,1,0,0,1,0,1,0,1500.0,195,7.0
1,1,1,1,0,0,0,0,0,1,1,1,5,1466.0,342,9.22
0,1,0,0,0,0,0,0,0,1,1,0,0,1500.0,193,4.27
0,0,1,0,1,1,1,1,0,0,1,0,0,1500.0,198,8.2
0,0,0,0,0,0,0,0,0,0,0,1,4,1575.0,156,2.72
1,1,1,1,0,1,0,0,0,1,0,1,4,1543.0,123,7.04
0,0,0,0,1,0,0,1,0,0,0,0,39,1930.0,210,6.67
0,1,1,1,0,0,1,0,0,1,0,0,0,1500.0,139,5.67
0,1,0,1,0,0,0,0,0,0,0,0,8,1510.0,226,3.32
0,1,1,0,0,1,1,0,1,1,0,0,1,1660.0,148,7.44
1,1,0,1,0,1,0,1,0,0,0,1,0,1500.0,194,6.56
1,1,1,0,1,0,0,0,0,0,0,0,3,1628.0,126,4.73
0,0,1,1,0,0,1,0,1,1,0,1,4,1488.0,242,7.7
1,0,1,1,0,1,0,1,0,0,0,1,2,1593.0,188,8.14
1,1,1,1,0,0,1,0,0,0,0,1,19,1600.0,128,6.39
1,0,1,1,0,0,0,0,0,0,1,0,29,1825.0,169,6.92
0,0,1,1,1,0,0,1,0,0,0,1,0,1500.0,180,4.8
0,0,1,0,1,0,0,0,0,0,0,1,0,1500.0,254,4.93
0,0,0,0,0,0,0,0,0,1,0,0,4,1613.0,178,2.55
1,1,1,1,0,0,0,1,1,1,0,0,1,1497.0,242,9.25
0,0,0,1,0,1,0,0,0,1,1,1,26,1586.0,169,6.36
0,0,1,0,0,1,0,0,1,0,0,0,50,1770.0,247,6.89
0,0,1,0,0,1,0,0,0,0,1,0,0,1500.0,211,5.32
1,1,0,0,1,1,0,0,0,1,0,1,19,1684.0,224,8.55
0,1,0,0,0,1,0,0,0,1,0,1,8,1421.0,125,3.98
1,1,0,1,0,1,0,0,0,1,1,0,9,1698.0,157,6.26
1,1,1,1,0,1,0,0,1,0,0,0,0,1500.0,161,6.18
0,1,1,1,0,0,0,0,0,1,0,0,0,1500.0,138,3.93
1,0,1,1,0,0,1,0,0,0,1,0,7,1293.0,180,4.5
0,1,1,0,0,1,1,0,0,0,0,0,8,1727.0,175,6.38
1,0,1,1,0,1,0,1,0,1,0,0,46,1917.0,223,9.03
0,1,0,0,0,1,0,0,1,0,1,1,10,1421.0,199,7.04
1,0,0,0,1,1,0,0,1,0,0,0,4,1422.0,219,5.61
1,1,1,0,0,0,1,0,1,1,0,0,50,1919.0,217,10.0
1,1,1,0,1,0,0,0,0,1,1,1,2,1542.0,195,9.43
1,0,0,1,0,1,0,0,0,1,0,1,0,1500.0,136,5.46
0,0,1,0,1,0,0,0,0,0,0,0,8,1346.0,132,1.34
1,0,1,1,0,0,1,0,0,0,1,0,0,1500.0,252,6.92
1,1,1,1,0,1,1,0,0,0,1,1,40,1706.0,202,10.0
1,1,1,0,1,0,0,0,1,1,0,0,4,1441.0,235,7.89
0,0,0,1,0,1,0,0,1,0,1,1,0,1500.0,224,7.3
1,1,1,0,0,1,1,0,1,0,0,1,0,1500.0,151,7.96
1,0,1,0,0,0,0,0,0,0,0,0,9,1535.0,124,2.8
1,1,1,0,0,0,0,0,0,0,1,1,2,1577.0,190,6.76
0,1,0,1,0,0,1,0,1,1,1,1,2,1510.0,206,8.42
1,1,0,0,0,1,0,0,1,0,0,0,8,1471.0,177,5.06
0,1,1,1,0,0,0,0,1,1,0,0,0,1500.0,161,5.83
1,0,1,0,0,0,0,0,0,0,0,1,0,1500.0,133,4.18
0,0,1,1,1,1,1,0,1,0,0,0,9,1575.0,219,7.52
1,1,1,0,0,0,0,0,0,1,1,0,0,1500.0,266,6.0
1,0,1,1,0,0,1,0,0,1,1,1,38,1854.0,160,9.78
0,1,1,1,1,0,0,0,1,1,1,1,0,1500.0,194,9.67
1,1,1,1,0,0,1,0,0,1,0,0,4,1452.0,284,7.22
0,1,1,1,0,1,1,0,0,0,0,0,0,1500.0,196,5.63
1,0,1,0,0,0,0,0,0,0,1,1,0,1500.0,128,5.45
1,0,0,1,0,0,0,1,0,0,0,0,29,1757.0,198,5.34
1,0,1,1,0,1,0,0,0,1,0,0,8,1207.0,180,4.49
1,0,1,1,0,1,1,0,0,0,1,0,1,1600.0,183,6.43
1,0,0,1,0,0,0,1,0,0,1,0,0,1500.0,159,4.6
0,0,1,1,1,1,1,0,0,1,0,0,0,1500.0,123,5.56
0,0,0,0,0,1,0,0,1,0,0,1,7,1602.0,212,6.21
1,0,1,1,0,0,0,0,0,0,0,0,15,1824.0,268,5.82
1,1,1,1,0,1,1,0,1,0,0,1,0,1500.0,218,9.15
1,1,0,1,0,1,0,0,0,1,0,1,1,1338.0,121,4.62
1,1,1,1,0,0,0,1,0,1,0,0,13,1665.0,189,7.9
0,1,0,1,0,1,1,0,0,0,1,0,15,1314.0,161,4.98
1,0,1,1,0,1,0,1,0,0,0,1,0,1500.0,159,6.16
0,1,1,0,0,1,1,0,1,0,0,0,3,1215.0,132,5.4
0,0,1,1,0,0,1,0,0,0,1,0,33,1744.0,168,6.81
0,1,1,1,0,0,1,0,1,0,0,0,16,1523.0,156,6.15
0,1,1,1,1,1,0,0,0,0,1,1,0,1500.0,173,7.37
0,1,1,0,1,0,0,0,1,1,1,0,3,1637.0,191,8.6
0,0,1,0,0,1,0,0,0,0,0,0,47,2000.0,171,6.26
1,1,1,1,0,0,0,0,0,1,1,1,6,1702.0,161,8.16
0,1,0,0,0,0,1,0,0,0,0,1,13,1669.0,226,5.58
0,0,1,1,0,1,0,0,0,0,1,0,0,1500.0,200,5.25
0,0,0,1,0,1,0,0,0,0,0,0,28,1826.0,140,3.42
0,1,1,1,1,0,0,0,0,1,0,1,8,1337.0,142,5.31
0,1,1,1,0,0,0,1,0,1,0,1,0,1500.0,215,7.13
0,1,0,1,1,1,0,0,1,0,0,0,3,1689.0,130,5.36
1,0,1,1,0,1,0,0,1,0,0,0,0,1500.0,180,6.19
1,1,1,1,0,1,1,0,0,1,1,0,21,1847.0,170,10.0
1,1,1,1,0,0,0,0,0,1,0,0,16,1403.0,129,4.29
0,1,1,1,1,0,0,0,0,1,0,1,5,1570.0,103,6.26
0,1,1,1,0,1,0,0,1,0,1,0,4,1407.0,209,7.37
1,0,0,0,1,1,0,1,0,1,0,0,5,1777.0,142,6.12
0,1,1,1,0,0,0,1,0,0,1,0,0,1500.0,159,6.04
0,1,0,0,0,1,1,0,0,0,0,1,2,1323.0,129,3.43
0,1,1,0,1,0,0,0,0,0,0,1,0,1500.0,150,4.44
0,1,1,1,0,1,0,0,0,0,1,0,0,1500.0,169,5.98
0,1,1,1,1,1,1,0,0,0,0,0,45,1913.0,166,8.8
0,0,0,1,0,0,1,0,0,0,0,1,0,1500.0,146,3.52
1,0,0,1,1,1,0,0,0,0,0,0,5,1527.0,143,4.12
0,0,1,1,0,0,0,0,0,1,1,0,36,1801.0,153,7.16
1,0,1,1,0,0,1,0,0,1,0,0,3,1802.0,209,6.0
1,0,1,1,0,1,0,1,0,0,0,0,6,1763.0,154,6.97
1,1,1,0,0,0,0,0,0,0,1,0,0,1500.0,161,4.94
1,0,1,1,1,1,0,0,0,0,1,1,0,1500.0,196,8.39
1,0,0,0,0,0,0,0,0,0,1,1,6,1264.0,160,3.45
0,0,1,1,0,1,0,0,0,0,0,0,2,1543.0,170,3.42
0,1,0,0,0,0,0,1,0,0,0,0,0,1500.0,187,3.83
0,1,1,1,0,1,0,0,1,0,0,0,3,1478.0,163,6.28
1,0,1,1,0,1,1,1,0,1,0,0,26,1835.0,201,9.68
1,0,1,0,0,1,0,0,0,1,0,0,0,1500.0,147,5.37
0,0,0,0,0,1,0,0,0,1,0,0,0,1500.0,147,1.78
1,1,0,1,1,0,0,0,0,0,1,1,0,1500.0,128,6.19
0,1,1,1,0,0,1,1,1,1,0,0,10,1581.0,155,8.66
1,1,1,0,1,1,0,0,1,0,0,0,23,1558.0,143,6.89
0,0,1,0,0,1,1,1,0,0,0,0,0,1500.0,217,5.24
0,1,1,1,0,0,0,0,0,1,0,1,36,1654.0,165,7.28
0,1,1,1,0,0,1,0,1,1,0,1,9,1479.0,183,7.98
0,0,0,0,0,1,1,0,1,1,0,0,6,1491.0,167,5.49
0,1,1,1,0,1,1,0,0,0,0,0,0,1500.0,224,5.73
0,0,0,0,1,1,0,0,0,1,0,0,2,1499.0,255,5.2
1,1,1,1,0,0,0,1,1,1,1,0,43,1794.0,193,10.0
0,0,1,0,1,0,0,0,1,0,1,0,39,2000.0,135,8.63
0,0,0,0,0,0,0,0,0,0,0,0,9,1620.0,255,2.34
1,0,1,0,0,0,0,0,0,0,1,1,7,1651.0,249,6.17
1,0,0,1,0,1,0,0,0,0,0,0,0,1500.0,189,3.18
0,1,1,1,1,1,1,0,0,1,0,1,44,1869.0,213,10.0
0,1,1,1,0,0,1,0,0,0,0,0,18,1474.0,236,5.59
0,1,0,0,1,0,0,0,0,1,1,1,3,1612.0,148,5.99
0,0,0,0,0,0,0,0,1,1,0,0,26,1560.0,140,2.49
1,0,1,1,0,1,1,0,0,0,0,0,0,1500.0,190,5.58
0,1,1,0,0,0,0,0,0,0,0,1,0,1500.0,136,3.83
0,0,0,0,1,0,0,0,1,0,0,0,23,1376.0,136,3.68
1,1,0,1,0,1,0,0,0,0,0,0,7,1604.0,220,5.57
0,0,1,1,0,1,0,0,1,0,0,0,7,1406.0,147,3.34
1,0,0,0,1,1,0,0,1,0,1,0,7,1469.0,199,6.34
0,1,1,1,0,0,1,0,0,1,0,0,0,1500.0,107,5.22
1,1,1,0,1,1,0,0,0,1,0,1,2,1574.0,198,7.3
0,1,1,1,1,0,0,0,1,1,0,0,7,1380.0,294,7.11
1,0,1,0,0,1,0,1,0,1,1,1,0,1500.0,294,9.64
1,1,0,1,1,1,1,0,0,1,0,0,6,1269.0,163,5.56
0,1,1,1,0,1,1,0,1,0,0,0,7,1702.0,208,9.12
1,1,0,1,0,0,0,0,0,0,1,0,43,1871.0,173,7.07
1,1,1,1,0,1,1,0,0,1,1,1,0,1500.0,211,10.0
1,1,0,1,0,0,0,0,0,1,1,1,4,1678.0,191,7.14
1,0,0,1,0,0,0,0,0,0,0,0,48,2000.0,154,4.35
1,1,1,0,0,0,1,0,0,0,0,1,0,1500.0,279,7.04
0,0,1,0,0,1,0,0,0,0,1,0,21,1758.0,185,5.96
0,0,1,1,0,0,0,1,0,0,1,1,0,1500.0,174,5.83
1,1,0,0,0,1,1,1,0,0,1,0,31,1784.0,306,10.0
0,1,0,1,0,1,0,0,1,0,0,0,5,1524.0,108,4.4
1,0,1,0,1,0,0,0,0,1,0,0,47,2000.0,211,7.5
1,0,0,0,0,1,0,0,0,1,1,1,0,1500.0,187,6.77
0,1,1,1,0,0,0,0,0,1,0,0,10,1672.0,214,5.62
0,1,1,0,0,0,0,0,1,0,0,0,10,1461.0,267,5.29
1,1,0,0,0,1,0,0,0,0,1,1,13,1653.0,233,8.27
0,0,1,1,0,1,1,0,0,0,0,0,0,1500.0,242,5.14
1,1,0,0,0,0,1,0,1,1,0,0,0,1500.0,170,5.6
0,1,1,0,0,1,0,0,1,0,0,1,1,1367.0,197,5.77
